ticker,CompanyName,Sector,Industry,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,stability_adjusted_score,recommendation
ELF,"e.l.f. Beauty, Inc.",Consumer Defensive,Household & Personal Products,56,78.08,0.082,0.86,1.43,0.018,0.15,141.71,76.88,67.16,73.96,30.42,HOLD - Modest potential
NICE,NICE Ltd.,Technology,Software - Application,56,80.77,-0.038,0.683,0.74,0.009,0.07,111.54,51.03,55.17,52.58,30.26,WATCH - Monitor for opportunity
B,Barrick Mining Corporation,Basic Materials,Gold,31,76.53,0.146,0.805,1.46,0.019,0.23,158.1,76.92,61.63,72.41,29.48,WATCH - Monitor for opportunity
AZTA,"Azenta, Inc.",Healthcare,Medical Instruments & Supplies,56,70.36,0.04,0.7,0.78,0.011,0.05,238.52,70.99,49.26,51.72,29.14,WATCH - Monitor for opportunity
CSGP,"CoStar Group, Inc.",Real Estate,Real Estate Services,56,81.58,0.056,0.692,1.09,0.013,0.02,101.2,69.8,56.49,60.44,28.87,WATCH - Monitor for opportunity
HQY,"HealthEquity, Inc.",Healthcare,Health Information Services,56,73.16,-0.061,0.874,1.05,0.014,0.13,200.7,57.34,63.97,59.15,28.85,WATCH - Monitor for opportunity
GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments,56,90.33,0.114,0.825,2.03,0.022,0.05,24.93,73.59,74.51,84.86,27.99,WATCH - Monitor for opportunity
ANSS,"ANSYS, Inc.",Technology,Software - Application,56,81.94,0.024,0.512,0.55,0.007,0.04,98.27,65.42,41.97,43.24,27.88,WATCH - Monitor for opportunity
FIZZ,National Beverage Corp.,Consumer Defensive,Beverages - Non-Alcoholic,56,83.64,-0.026,0.537,0.57,0.007,0.18,76.77,49.06,44.89,43.45,27.75,WATCH - Monitor for opportunity
UBER,"Uber Technologies, Inc.",Technology,Software - Application,56,75.78,0.034,0.596,0.71,0.009,0.02,168.84,67.3,45.15,47.04,27.58,WATCH - Monitor for opportunity
DT,"Dynatrace, Inc.",Technology,Software - Application,56,85.23,-0.026,0.524,0.57,0.007,0.05,57.66,46.13,44.63,43.21,27.51,WATCH - Monitor for opportunity
HOLX,"Hologic, Inc.",Healthcare,Medical Instruments & Supplies,56,73.48,0.067,0.772,1.23,0.017,0.13,198.05,74.03,56.73,61.44,27.5,WATCH - Monitor for opportunity
ADBE,Adobe Inc.,Technology,Software - Application,56,79.7,-0.045,0.688,0.89,0.011,0.15,122.95,52.44,54.84,51.74,27.45,WATCH - Monitor for opportunity
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,56,84.84,0.082,0.731,1.55,0.018,0.13,65.73,72.64,62.01,68.29,26.77,WATCH - Monitor for opportunity
VRSN,"VeriSign, Inc.",Technology,Software - Infrastructure,56,74.31,-0.052,0.74,0.97,0.013,0.11,185.46,53.09,55.02,51.49,26.13,WATCH - Monitor for opportunity
CLS,Celestica Inc.,Technology,Electronic Components,56,72.34,0.08,0.799,1.45,0.02,0.15,210.14,74.88,57.8,63.5,25.95,WATCH - Monitor for opportunity
JWN,Unknown,Unknown,Unknown,28,44.68,-0.036,0.799,0.32,0.007,0.15,701.07,56.22,35.72,34.12,25.76,WATCH - Monitor for opportunity
PAYC,"Paycom Software, Inc.",Technology,Software - Application,56,90.24,-0.053,0.625,1.08,0.012,0.15,24.88,50.46,56.41,52.7,25.33,WATCH - Monitor for opportunity
VICR,Vicor Corporation,Technology,Electronic Components,56,78.27,0.046,0.596,0.96,0.012,0.02,137.55,67.01,46.65,49.31,25.15,WATCH - Monitor for opportunity
RL,Ralph Lauren Corporation,Consumer Cyclical,Apparel Manufacturing,56,75.81,0.071,0.716,1.36,0.018,0.27,168.66,75.13,54.26,59.04,25.01,WATCH - Monitor for opportunity
CIEN,Ciena Corporation,Technology,Communication Equipment,56,76.7,0.065,0.677,1.29,0.017,0.13,157.5,71.18,51.94,56.15,24.57,AVOID - Poor risk-adjusted score
BIO,"Bio-Rad Laboratories, Inc.",Healthcare,Medical Devices,56,64.7,0.048,0.689,0.94,0.015,0.11,328.91,71.41,44.6,47.29,24.35,AVOID - Poor risk-adjusted score
FFIV,"F5, Inc.",Technology,Software - Infrastructure,56,91.71,0.057,0.554,1.23,0.013,0.11,17.84,67.45,50.77,54.35,24.34,AVOID - Poor risk-adjusted score
AEIS,"Advanced Energy Industries, Inc.",Industrials,Electrical Equipment & Parts,56,76.23,0.065,0.667,1.28,0.017,0.15,163.75,71.23,50.84,54.92,24.06,AVOID - Poor risk-adjusted score
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,56,85.81,0.086,0.682,1.69,0.02,0.0,55.98,68.48,58.5,64.72,24.05,AVOID - Poor risk-adjusted score
AFRM,"Affirm Holdings, Inc.",Technology,Software - Infrastructure,56,61.71,0.08,0.85,1.41,0.023,0.25,382.48,78.3,52.43,57.62,23.94,AVOID - Poor risk-adjusted score
ON,ON Semiconductor Corporation,Technology,Semiconductors,56,67.84,0.095,0.837,1.67,0.025,0.13,278.43,75.2,56.81,63.41,23.72,AVOID - Poor risk-adjusted score
MMSI,"Merit Medical Systems, Inc.",Healthcare,Medical Instruments & Supplies,56,72.04,-0.062,0.762,1.14,0.016,0.13,215.45,53.82,54.88,50.69,23.69,AVOID - Poor risk-adjusted score
FSLR,"First Solar, Inc.",Technology,Solar,56,72.78,0.112,0.845,1.96,0.027,0.09,206.55,74.48,61.52,69.88,23.59,AVOID - Poor risk-adjusted score
CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,56,76.97,-0.083,0.841,1.47,0.019,0.18,153.59,56.95,64.72,58.08,23.53,AVOID - Poor risk-adjusted score
FIX,"Comfort Systems USA, Inc.",Industrials,Engineering & Construction,56,80.22,0.114,0.789,2.08,0.026,0.02,116.27,71.44,63.28,72.07,23.42,AVOID - Poor risk-adjusted score
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,56,88.87,0.056,0.537,1.23,0.014,0.0,32.04,64.74,47.74,51.04,22.92,AVOID - Poor risk-adjusted score
SKYW,"SkyWest, Inc.",Industrials,Airlines,56,57.09,0.077,0.86,1.35,0.024,0.02,472.61,73.81,49.12,53.81,22.91,AVOID - Poor risk-adjusted score
SPXC,"SPX Technologies, Inc.",Industrials,Building Products & Equipment,56,69.46,0.064,0.68,1.26,0.018,0.05,253.0,69.68,47.23,50.99,22.57,AVOID - Poor risk-adjusted score
SAP,SAP SE,Technology,Software - Application,56,82.46,-0.09,0.807,1.62,0.02,0.25,92.43,57.32,66.51,59.14,22.56,AVOID - Poor risk-adjusted score
SNPS,"Synopsys, Inc.",Technology,Software - Infrastructure,56,80.55,0.117,0.772,2.15,0.027,0.11,113.3,72.67,62.2,71.06,22.52,AVOID - Poor risk-adjusted score
GE,GE Aerospace,Industrials,Aerospace & Defense,56,78.88,0.08,0.666,1.58,0.02,0.02,132.93,68.35,52.53,57.69,22.4,AVOID - Poor risk-adjusted score
VRSK,"Verisk Analytics, Inc.",Industrials,Consulting Services,56,71.58,-0.084,0.862,1.47,0.021,0.11,221.84,55.99,61.71,55.29,22.39,AVOID - Poor risk-adjusted score
FCX,Freeport-McMoRan Inc.,Basic Materials,Copper,56,70.73,0.09,0.754,1.68,0.024,0.04,234.0,70.97,53.34,59.27,22.08,AVOID - Poor risk-adjusted score
DFS,Unknown,Unknown,Unknown,26,40.45,-0.057,0.849,0.46,0.011,0.04,762.27,55.11,34.33,31.9,21.78,AVOID - Poor risk-adjusted score
WSM,"Williams-Sonoma, Inc.",Consumer Cyclical,Specialty Retail,56,77.94,0.065,0.602,1.35,0.017,0.09,142.0,68.14,46.92,50.7,21.53,AVOID - Poor risk-adjusted score
DBX,"Dropbox, Inc.",Technology,Software - Infrastructure,56,62.42,-0.077,0.887,1.33,0.021,0.09,370.66,56.32,55.4,50.1,21.53,AVOID - Poor risk-adjusted score
OKTA,"Okta, Inc.",Technology,Software - Infrastructure,56,81.32,-0.055,0.607,1.15,0.014,0.13,104.93,49.34,49.34,45.96,21.42,AVOID - Poor risk-adjusted score
DXCM,"DexCom, Inc.",Healthcare,Medical Devices,56,79.61,0.138,0.802,2.49,0.031,0.05,123.73,72.02,63.82,74.4,21.34,AVOID - Poor risk-adjusted score
INFY,Infosys Limited,Technology,Information Technology Services,56,83.23,-0.082,0.727,1.56,0.019,0.09,82.41,51.75,60.49,54.35,21.22,AVOID - Poor risk-adjusted score
FND,"Floor & Decor Holdings, Inc.",Consumer Cyclical,Home Improvement Retail,56,50.42,0.059,0.794,1.06,0.021,0.13,585.64,74.25,40.03,42.94,20.81,AVOID - Poor risk-adjusted score
ILMN,"Illumina, Inc.",Healthcare,Diagnostics & Research,56,60.07,0.099,0.846,1.75,0.029,0.05,413.91,73.57,50.84,57.02,20.77,AVOID - Poor risk-adjusted score
RCL,Royal Caribbean Cruises Ltd.,Consumer Cyclical,Travel Services,56,66.69,0.108,0.807,1.94,0.029,0.25,297.66,76.38,53.8,60.89,20.69,AVOID - Poor risk-adjusted score
NEM,Newmont Corporation,Basic Materials,Gold,56,83.44,0.091,0.636,1.85,0.022,0.16,80.18,70.12,53.05,59.01,20.68,AVOID - Poor risk-adjusted score
WMB,"The Williams Companies, Inc.",Energy,Oil & Gas Midstream,56,59.13,-0.057,0.771,1.05,0.018,0.02,436.75,51.72,45.59,42.36,20.66,AVOID - Poor risk-adjusted score
GDDY,GoDaddy Inc.,Technology,Software - Infrastructure,56,66.23,-0.096,0.921,1.61,0.024,0.25,301.32,60.28,60.99,53.82,20.59,AVOID - Poor risk-adjusted score
CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,56,55.32,0.044,0.66,0.88,0.016,0.02,502.16,68.57,36.52,38.54,20.45,AVOID - Poor risk-adjusted score
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,56,94.09,-0.034,0.416,0.86,0.009,0.15,9.23,44.48,39.17,37.49,20.11,AVOID - Poor risk-adjusted score
KLIC,"Kulicke and Soffa Industries, Inc.",Technology,Semiconductor Equipment & Materials,56,73.95,0.035,0.473,0.82,0.011,0.05,191.43,44.17,34.98,36.51,20.02,AVOID - Poor risk-adjusted score
PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,56,58.97,0.074,0.735,1.39,0.024,0.02,435.36,70.06,43.35,47.29,19.82,AVOID - Poor risk-adjusted score
ONON,On Holding AG,Consumer Cyclical,Footwear & Accessories,56,90.13,-0.111,0.774,2.04,0.023,0.29,26.75,56.78,69.79,60.33,19.82,AVOID - Poor risk-adjusted score
YELP,Yelp Inc.,Communication Services,Internet Content & Information,56,84.19,0.066,0.534,1.46,0.017,0.0,73.29,64.29,44.98,48.65,19.78,AVOID - Poor risk-adjusted score
BOOT,"Boot Barn Holdings, Inc.",Consumer Cyclical,Apparel Retail,56,72.46,0.053,0.551,1.16,0.016,0.05,209.36,66.01,39.9,42.55,19.69,AVOID - Poor risk-adjusted score
WMG,Warner Music Group Corp.,Communication Services,Entertainment,56,54.75,0.078,0.788,1.42,0.026,0.02,510.29,71.41,43.14,47.29,19.54,AVOID - Poor risk-adjusted score
URBN,"Urban Outfitters, Inc.",Consumer Cyclical,Apparel Retail,56,69.57,0.033,0.476,0.77,0.011,0.09,250.34,44.98,33.09,34.44,19.49,AVOID - Poor risk-adjusted score
DOX,Amdocs Limited,Technology,Software - Infrastructure,56,65.68,-0.082,0.814,1.47,0.022,0.22,311.27,56.54,53.47,48.04,19.42,AVOID - Poor risk-adjusted score
IT,"Gartner, Inc.",Technology,Information Technology Services,56,70.13,-0.108,0.902,1.84,0.026,0.16,244.55,57.7,63.24,54.88,19.29,AVOID - Poor risk-adjusted score
VRT,Vertiv Holdings Co,Industrials,Electrical Equipment & Parts,56,78.88,0.1,0.654,2.01,0.025,0.02,132.18,67.44,51.6,57.94,19.28,AVOID - Poor risk-adjusted score
HWM,Howmet Aerospace Inc.,Industrials,Aerospace & Defense,56,76.49,-0.056,0.59,1.19,0.016,0.05,159.89,47.24,45.12,41.96,19.2,AVOID - Poor risk-adjusted score
WST,"West Pharmaceutical Services, Inc.",Healthcare,Medical Instruments & Supplies,56,76.17,0.057,0.53,1.26,0.016,0.16,164.32,67.51,40.35,43.18,19.14,AVOID - Poor risk-adjusted score
BLK,"BlackRock, Inc.",Financial Services,Asset Management,56,81.55,0.05,0.479,1.17,0.014,0.11,102.36,45.11,39.03,41.45,19.13,AVOID - Poor risk-adjusted score
CCJ,Cameco Corporation,Energy,Uranium,56,78.91,0.181,0.838,3.2,0.041,0.13,131.88,73.62,66.11,80.14,19.08,AVOID - Poor risk-adjusted score
DY,"Dycom Industries, Inc.",Industrials,Engineering & Construction,56,61.72,0.038,0.539,0.83,0.013,0.07,383.43,66.28,33.25,34.8,19.05,AVOID - Poor risk-adjusted score
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,56,73.83,-0.067,0.655,1.34,0.018,0.15,192.21,50.75,48.36,44.35,18.98,AVOID - Poor risk-adjusted score
PCAR,PACCAR Inc,Industrials,Farm & Heavy Construction Machinery,56,55.13,0.054,0.667,1.07,0.019,0.09,504.36,69.9,36.79,39.26,18.98,AVOID - Poor risk-adjusted score
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,56,86.55,0.036,0.403,0.92,0.011,0.04,46.55,41.76,34.89,36.47,18.97,AVOID - Poor risk-adjusted score
SNA,Snap-on Incorporated,Industrials,Tools & Accessories,56,81.92,-0.056,0.552,1.22,0.015,0.16,98.46,48.34,45.19,42.05,18.96,AVOID - Poor risk-adjusted score
PTC,PTC Inc.,Technology,Software - Application,56,73.09,0.169,0.854,2.95,0.04,0.04,202.48,72.31,62.43,74.87,18.95,AVOID - Poor risk-adjusted score
HEI,HEICO Corporation,Industrials,Aerospace & Defense,56,75.98,-0.05,0.556,1.09,0.014,0.05,166.61,46.34,42.25,39.6,18.93,AVOID - Poor risk-adjusted score
EME,"EMCOR Group, Inc.",Industrials,Engineering & Construction,56,75.78,0.069,0.571,1.48,0.02,0.02,169.57,65.55,43.31,47.03,18.93,AVOID - Poor risk-adjusted score
JOYY,JOYY Inc.,Communication Services,Internet Content & Information,56,80.02,-0.041,0.487,0.96,0.012,0.05,119.23,44.51,38.98,36.97,18.85,AVOID - Poor risk-adjusted score
AZN,AstraZeneca PLC,Healthcare,Drug Manufacturers - General,56,68.23,0.066,0.603,1.38,0.02,0.13,271.8,68.61,41.12,44.49,18.73,AVOID - Poor risk-adjusted score
EXTR,"Extreme Networks, Inc.",Technology,Communication Equipment,56,71.21,0.027,0.425,0.67,0.009,0.09,226.04,43.62,30.24,31.26,18.71,AVOID - Poor risk-adjusted score
APH,Amphenol Corporation,Technology,Electronic Components,56,80.22,0.088,0.596,1.84,0.023,0.15,116.34,68.5,47.83,53.0,18.66,AVOID - Poor risk-adjusted score
ANF,Abercrombie & Fitch Co.,Consumer Cyclical,Apparel Retail,56,59.48,0.083,0.73,1.57,0.026,0.07,425.77,70.72,43.42,47.85,18.64,AVOID - Poor risk-adjusted score
MU,"Micron Technology, Inc.",Technology,Semiconductors,56,77.49,0.082,0.593,1.72,0.022,0.09,147.39,67.38,45.92,50.55,18.61,AVOID - Poor risk-adjusted score
ICLR,ICON Public Limited Company,Healthcare,Diagnostics & Research,56,47.76,0.034,0.631,0.69,0.014,0.22,638.73,71.85,30.13,31.4,18.6,AVOID - Poor risk-adjusted score
RDDT,"Reddit, Inc.",Communication Services,Internet Content & Information,56,93.77,0.192,0.744,3.59,0.038,0.18,14.55,72.13,69.78,85.32,18.58,AVOID - Poor risk-adjusted score
MOMO,Hello Group Inc.,Communication Services,Internet Content & Information,56,55.38,-0.024,0.528,0.53,0.01,0.0,499.14,44.88,29.23,28.36,18.53,AVOID - Poor risk-adjusted score
CRL,"Charles River Laboratories International, Inc.",Healthcare,Diagnostics & Research,56,45.62,0.052,0.749,0.97,0.021,0.24,680.95,75.09,34.18,36.38,18.5,AVOID - Poor risk-adjusted score
NUE,Nucor Corporation,Basic Materials,Steel,56,54.66,0.13,0.927,2.18,0.04,0.13,512.75,76.36,50.67,58.62,18.42,AVOID - Poor risk-adjusted score
CRUS,"Cirrus Logic, Inc.",Technology,Semiconductors,56,85.17,-0.058,0.533,1.29,0.015,0.04,58.75,45.21,45.42,42.12,18.36,AVOID - Poor risk-adjusted score
SSRM,SSR Mining Inc.,Basic Materials,Gold,56,80.99,0.094,0.599,1.95,0.024,0.24,106.84,70.29,48.52,54.1,18.32,AVOID - Poor risk-adjusted score
FI,"Fiserv, Inc.",Technology,Information Technology Services,56,61.02,-0.092,0.877,1.6,0.026,0.36,398.54,60.98,53.54,47.46,18.28,AVOID - Poor risk-adjusted score
UL,Unilever PLC,Consumer Defensive,Household & Personal Products,56,58.65,-0.069,0.773,1.28,0.022,0.15,446.27,53.91,45.32,41.43,18.2,AVOID - Poor risk-adjusted score
WING,Wingstop Inc.,Consumer Cyclical,Restaurants,56,69.63,-0.098,0.817,1.75,0.025,0.27,251.2,57.44,56.86,50.04,18.19,AVOID - Poor risk-adjusted score
AXON,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,56,90.33,-0.124,0.774,2.27,0.025,0.04,25.59,51.44,69.94,59.45,18.16,AVOID - Poor risk-adjusted score
TLN,Talen Energy Corporation,Utilities,Utilities - Independent Power Producers,56,60.65,0.149,0.897,2.54,0.042,0.11,401.86,74.91,54.41,64.1,18.1,AVOID - Poor risk-adjusted score
FUTU,Futu Holdings Limited,Financial Services,Capital Markets,56,47.46,0.07,0.797,1.27,0.027,0.25,644.98,76.31,37.8,41.08,18.1,AVOID - Poor risk-adjusted score
GWW,"W.W. Grainger, Inc.",Industrials,Industrial Distribution,56,70.78,-0.09,0.762,1.67,0.024,0.05,234.91,51.6,53.95,47.96,17.96,AVOID - Poor risk-adjusted score
IOT,Samsara Inc.,Technology,Software - Infrastructure,56,46.64,-0.066,0.892,1.13,0.024,0.2,659.18,58.33,41.59,38.19,17.92,AVOID - Poor risk-adjusted score
MKSI,MKS Inc.,Technology,Scientific & Technical Instruments,56,49.47,0.06,0.721,1.14,0.023,0.05,604.52,70.43,35.68,38.33,17.92,AVOID - Poor risk-adjusted score
BURL,"Burlington Stores, Inc.",Consumer Cyclical,Apparel Retail,56,52.41,0.065,0.71,1.25,0.024,0.05,548.29,70.02,37.23,40.23,17.89,AVOID - Poor risk-adjusted score
COO,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies,56,60.26,0.017,0.415,0.44,0.007,0.02,411.59,42.1,25.03,25.58,17.82,AVOID - Poor risk-adjusted score
KGC,Kinross Gold Corporation,Basic Materials,Gold,56,88.46,0.088,0.534,1.95,0.022,0.0,34.61,63.81,47.2,52.31,17.75,AVOID - Poor risk-adjusted score
BWA,BorgWarner Inc.,Consumer Cyclical,Auto Parts,56,51.86,0.113,0.886,1.95,0.038,0.2,556.98,76.83,45.96,52.3,17.74,AVOID - Poor risk-adjusted score
SHEL,Shell plc,Energy,Oil & Gas Integrated,56,54.51,-0.055,0.714,1.05,0.019,0.04,515.32,50.22,38.9,36.26,17.72,AVOID - Poor risk-adjusted score
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,56,55.28,-0.058,0.728,1.11,0.02,0.02,501.8,50.21,40.25,37.33,17.72,AVOID - Poor risk-adjusted score
NOK,Nokia Oyj,Technology,Communication Equipment,56,59.84,-0.099,0.904,1.69,0.028,0.18,422.79,57.92,54.07,47.49,17.66,AVOID - Poor risk-adjusted score
ZS,"Zscaler, Inc.",Technology,Software - Infrastructure,56,46.18,-0.068,0.892,1.16,0.025,0.13,669.32,56.81,41.21,37.76,17.5,AVOID - Poor risk-adjusted score
LVS,Las Vegas Sands Corp.,Consumer Cyclical,Resorts & Casinos,56,60.99,0.168,0.916,2.84,0.047,0.25,395.18,77.9,55.85,66.94,17.43,AVOID - Poor risk-adjusted score
ENPH,"Enphase Energy, Inc.",Technology,Solar,56,62.64,-0.041,0.554,0.89,0.014,0.0,366.66,45.19,34.69,32.92,17.42,AVOID - Poor risk-adjusted score
PATH,UiPath Inc.,Technology,Software - Infrastructure,56,40.57,-0.056,0.898,0.95,0.023,0.07,760.96,56.06,36.44,33.92,17.4,AVOID - Poor risk-adjusted score
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,56,66.67,-0.093,0.792,1.69,0.025,0.16,294.3,54.49,52.79,46.76,17.39,AVOID - Poor risk-adjusted score
AMBA,"Ambarella, Inc.",Technology,Semiconductor Equipment & Materials,56,49.99,0.055,0.678,1.09,0.022,0.02,594.54,68.51,33.87,36.2,17.33,AVOID - Poor risk-adjusted score
FOXF,Fox Factory Holding Corp.,Consumer Cyclical,Auto Parts,56,39.44,0.06,0.836,1.06,0.027,0.02,777.88,72.75,32.97,35.43,17.18,AVOID - Poor risk-adjusted score
PHG,Koninklijke Philips N.V.,Healthcare,Medical Devices,56,46.62,0.061,0.735,1.15,0.025,0.09,660.79,71.4,34.28,36.88,17.13,AVOID - Poor risk-adjusted score
BIIB,Biogen Inc.,Healthcare,Drug Manufacturers - General,56,63.33,0.124,0.769,2.28,0.036,0.13,355.21,72.03,48.72,56.01,17.09,AVOID - Poor risk-adjusted score
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics,56,55.09,0.108,0.807,1.94,0.035,0.05,504.96,71.76,44.44,50.29,17.09,AVOID - Poor risk-adjusted score
ANET,Arista Networks Inc,Technology,Computer Hardware,56,50.74,0.118,0.89,2.03,0.04,0.22,580.04,77.06,45.16,51.66,17.05,AVOID - Poor risk-adjusted score
SEIC,SEI Investments Company,Financial Services,Asset Management,56,89.88,-0.089,0.607,1.85,0.021,0.02,27.27,46.52,54.58,48.59,17.04,AVOID - Poor risk-adjusted score
ROP,"Roper Technologies, Inc.",Technology,Software - Application,56,65.78,-0.063,0.638,1.27,0.019,0.04,308.93,47.94,41.99,38.71,17.02,AVOID - Poor risk-adjusted score
IDCC,"InterDigital, Inc.",Technology,Software - Application,56,88.96,0.134,0.618,2.75,0.031,0.05,32.66,66.53,54.95,63.81,17.01,AVOID - Poor risk-adjusted score
CGNX,Cognex Corporation,Technology,Scientific & Technical Instruments,56,79.55,0.183,0.767,3.38,0.042,0.13,124.16,71.31,61.02,74.08,16.93,AVOID - Poor risk-adjusted score
PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,56,67.41,-0.075,0.678,1.46,0.022,0.04,282.77,48.9,45.72,41.51,16.85,AVOID - Poor risk-adjusted score
TYL,"Tyler Technologies, Inc.",Technology,Software - Application,56,77.62,-0.02,0.343,0.54,0.007,0.13,144.43,42.13,26.6,25.95,16.84,AVOID - Poor risk-adjusted score
BEN,"Franklin Resources, Inc.",Financial Services,Asset Management,56,60.9,0.097,0.707,1.86,0.031,0.2,398.45,72.14,43.03,48.13,16.83,AVOID - Poor risk-adjusted score
HUBG,"Hub Group, Inc.",Industrials,Integrated Freight & Logistics,56,45.13,0.051,0.697,0.99,0.022,0.0,689.3,68.71,31.45,33.44,16.82,AVOID - Poor risk-adjusted score
PHM,"PulteGroup, Inc.",Consumer Cyclical,Residential Construction,56,69.82,0.076,0.577,1.62,0.023,0.04,247.2,65.72,40.32,44.12,16.82,AVOID - Poor risk-adjusted score
FOUR,"Shift4 Payments, Inc.",Technology,Software - Infrastructure,56,57.55,0.115,0.792,2.09,0.036,0.04,462.23,70.84,45.55,51.92,16.81,AVOID - Poor risk-adjusted score
APP,AppLovin Corporation,Communication Services,Advertising Agencies,56,84.3,0.144,0.657,2.87,0.034,0.07,74.3,67.75,55.36,64.91,16.78,AVOID - Poor risk-adjusted score
SFM,"Sprouts Farmers Market, Inc.",Consumer Defensive,Grocery Stores,56,68.2,-0.109,0.828,1.93,0.028,0.16,271.32,55.28,56.45,48.97,16.71,AVOID - Poor risk-adjusted score
CMC,Commercial Metals Company,Basic Materials,Steel,56,57.47,0.059,0.601,1.22,0.021,0.09,465.91,67.73,34.55,37.06,16.69,AVOID - Poor risk-adjusted score
T,AT&T Inc.,Communication Services,Telecom Services,56,55.9,-0.06,0.694,1.16,0.021,0.07,489.29,50.2,38.78,35.92,16.67,AVOID - Poor risk-adjusted score
ZTS,Zoetis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,56,71.24,-0.055,0.549,1.19,0.017,0.02,226.57,45.14,39.08,36.42,16.6,AVOID - Poor risk-adjusted score
WB,Weibo Corporation,Communication Services,Internet Content & Information,56,64.91,0.08,0.617,1.65,0.025,0.0,327.05,65.96,40.05,44.02,16.59,AVOID - Poor risk-adjusted score
