ticker,CompanyName,Country,Sector,Industry,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,stability_adjusted_score,recommendation
HOLX,"Hologic, Inc.",United States,Healthcare,Medical Instruments & Supplies,61,73.6,0.063,0.781,1.25,0.017,0.07,196.31,73.06,57.47,61.93,27.56,HOLD - Good fundamentals
VICR,Vicor Corporation,United States,Technology,Electronic Components,61,78.45,0.052,0.681,1.1,0.014,0.03,135.7,69.71,53.46,56.88,27.1,HOLD - Good fundamentals
PAYC,"Paycom Software, Inc.",United States,Technology,Software - Application,61,90.12,-0.051,0.663,1.11,0.012,0.15,25.46,51.67,59.79,55.97,26.53,HOLD - Good fundamentals
VRSN,"VeriSign, Inc.",United States,Technology,Software - Infrastructure,61,74.22,-0.048,0.751,0.98,0.013,0.13,186.72,53.89,55.77,52.42,26.48,HOLD - Good fundamentals
UBER,"Uber Technologies, Inc.",United States,Technology,Software - Application,61,75.82,0.029,0.566,0.69,0.009,0.0,168.43,66.06,42.88,44.46,26.32,HOLD - Good fundamentals
ANSS,"ANSYS, Inc.",United States,Technology,Software - Application,61,81.96,0.021,0.478,0.53,0.007,0.02,98.08,44.02,39.17,40.2,26.2,HOLD - Good fundamentals
AMZN,"Amazon.com, Inc.",United States,Consumer Cyclical,Internet Retail,61,80.11,0.015,0.445,0.4,0.005,0.03,119.1,43.51,35.64,36.32,25.93,HOLD - Good fundamentals
RL,Ralph Lauren Corporation,United States,Consumer Cyclical,Apparel Manufacturing,61,75.98,0.071,0.759,1.43,0.019,0.23,166.59,75.55,57.64,62.67,25.84,HOLD - Good fundamentals
JWN,Unknown,Unknown,Unknown,Unknown,28,44.68,-0.036,0.799,0.32,0.007,0.15,701.07,56.22,35.72,34.12,25.76,HOLD - Needs monitoring
CLS,Celestica Inc.,Canada,Technology,Electronic Components,61,72.47,0.074,0.797,1.45,0.02,0.18,208.54,75.56,57.74,62.99,25.68,HOLD - Good fundamentals
BIO,"Bio-Rad Laboratories, Inc.",United States,Healthcare,Medical Devices,61,64.83,0.049,0.743,0.99,0.015,0.08,326.48,72.41,48.14,51.04,25.62,HOLD - Good fundamentals
BKNG,Booking Holdings Inc.,United States,Consumer Cyclical,Travel Services,61,84.94,0.072,0.694,1.52,0.018,0.17,64.89,72.36,58.94,64.17,25.48,HOLD - Good fundamentals
ABNB,"Airbnb, Inc.",United States,Consumer Cyclical,Travel Services,61,85.98,0.082,0.708,1.72,0.02,0.05,54.49,70.25,60.9,67.08,24.66,WATCH - Monitor for opportunity
CSGP,"CoStar Group, Inc.",United States,Real Estate,Real Estate Services,61,81.6,0.045,0.579,1.05,0.013,0.0,101.18,66.08,47.25,49.92,24.34,WATCH - Monitor for opportunity
FFIV,"F5, Inc.",United States,Technology,Software - Infrastructure,61,91.78,0.05,0.542,1.21,0.013,0.08,17.79,66.63,49.79,52.91,23.99,WATCH - Monitor for opportunity
META,"Meta Platforms, Inc.",United States,Communication Services,Internet Content & Information,61,93.98,-0.037,0.511,0.92,0.01,0.18,9.8,48.03,48.05,45.82,23.9,WATCH - Monitor for opportunity
AEIS,"Advanced Energy Industries, Inc.",United States,Industrials,Electrical Equipment & Parts,61,76.34,0.06,0.666,1.29,0.017,0.18,162.43,71.95,50.81,54.58,23.83,WATCH - Monitor for opportunity
CTSH,Cognizant Technology Solutions Corporation,United States,Technology,Information Technology Services,61,76.8,-0.08,0.86,1.52,0.02,0.22,155.66,58.15,66.04,59.51,23.58,WATCH - Monitor for opportunity
KLIC,"Kulicke and Soffa Industries, Inc.",United States,Technology,Semiconductor Equipment & Materials,61,74.09,0.04,0.584,0.93,0.013,0.0,189.66,66.26,43.27,45.45,23.52,WATCH - Monitor for opportunity
FSLR,"First Solar, Inc.",United States,Technology,Solar,61,73.05,0.111,0.874,2.09,0.029,0.15,203.23,76.37,63.88,72.51,23.48,WATCH - Monitor for opportunity
AFRM,"Affirm Holdings, Inc.",United States,Technology,Software - Infrastructure,61,61.84,0.074,0.838,1.43,0.023,0.22,379.7,77.18,51.84,56.59,23.33,WATCH - Monitor for opportunity
FIX,"Comfort Systems USA, Inc.",United States,Industrials,Engineering & Construction,61,80.4,0.105,0.784,2.08,0.026,0.0,114.39,70.93,63.02,71.08,23.08,WATCH - Monitor for opportunity
EXTR,"Extreme Networks, Inc.",United States,Technology,Communication Equipment,61,71.34,0.032,0.546,0.77,0.011,0.13,224.31,67.96,38.92,40.48,22.91,WATCH - Monitor for opportunity
ON,ON Semiconductor Corporation,United States,Technology,Semiconductors,61,67.97,0.085,0.81,1.66,0.024,0.1,275.89,73.87,55.09,60.85,22.86,WATCH - Monitor for opportunity
SAP,SAP SE,Germany,Technology,Software - Application,61,82.24,-0.09,0.842,1.72,0.021,0.25,94.92,58.16,69.23,61.6,22.64,WATCH - Monitor for opportunity
GE,GE Aerospace,United States,Industrials,Aerospace & Defense,61,78.99,0.072,0.665,1.56,0.02,0.0,131.52,67.96,52.49,57.19,22.32,WATCH - Monitor for opportunity
FCX,Freeport-McMoRan Inc.,United States,Basic Materials,Copper,61,70.9,0.085,0.772,1.71,0.024,0.05,231.52,71.74,54.71,60.46,22.3,WATCH - Monitor for opportunity
VRSK,"Verisk Analytics, Inc.",United States,Industrials,Consulting Services,61,71.42,-0.08,0.866,1.51,0.021,0.1,223.7,55.86,61.82,55.75,22.24,WATCH - Monitor for opportunity
MMSI,"Merit Medical Systems, Inc.",United States,Healthcare,Medical Instruments & Supplies,61,71.99,-0.052,0.696,1.11,0.015,0.13,216.05,52.0,50.09,46.82,22.22,WATCH - Monitor for opportunity
INFY,Infosys Limited,India,Technology,Information Technology Services,61,83.05,-0.08,0.764,1.62,0.019,0.1,84.66,52.97,63.45,57.17,21.84,WATCH - Monitor for opportunity
SNPS,"Synopsys, Inc.",United States,Technology,Software - Infrastructure,61,80.71,0.105,0.751,2.13,0.026,0.15,111.69,72.9,60.64,68.41,21.84,WATCH - Monitor for opportunity
YELP,Yelp Inc.,United States,Communication Services,Internet Content & Information,61,84.36,0.066,0.6,1.51,0.018,0.02,71.38,66.55,50.64,54.81,21.83,WATCH - Monitor for opportunity
DFS,Unknown,Unknown,Unknown,Unknown,26,40.45,-0.057,0.849,0.46,0.011,0.04,762.27,55.11,34.33,31.9,21.78,WATCH - Monitor for opportunity
BOOT,"Boot Barn Holdings, Inc.",United States,Consumer Cyclical,Apparel Retail,61,72.6,0.054,0.62,1.21,0.017,0.0,207.54,66.91,44.98,48.02,21.69,WATCH - Monitor for opportunity
SKYW,"SkyWest, Inc.",United States,Industrials,Airlines,61,57.22,0.072,0.823,1.39,0.024,0.07,469.77,73.6,47.11,51.28,21.45,WATCH - Monitor for opportunity
NEM,Newmont Corporation,United States,Basic Materials,Gold,61,83.62,0.086,0.663,1.87,0.022,0.17,78.57,70.99,55.44,61.34,21.38,WATCH - Monitor for opportunity
WSM,"Williams-Sonoma, Inc.",United States,Consumer Cyclical,Specialty Retail,61,78.03,0.059,0.593,1.34,0.017,0.1,141.03,68.07,46.28,49.66,21.2,WATCH - Monitor for opportunity
WMB,"The Williams Companies, Inc.",United States,Energy,Oil & Gas Midstream,61,58.99,-0.057,0.813,1.12,0.019,0.03,439.36,53.17,47.97,44.57,21.05,WATCH - Monitor for opportunity
LRCX,Lam Research Corporation,United States,Technology,Semiconductor Equipment & Materials,61,88.91,0.047,0.489,1.19,0.013,0.05,31.7,44.34,43.49,46.05,21.03,WATCH - Monitor for opportunity
RCL,Royal Caribbean Cruises Ltd.,United States,Consumer Cyclical,Travel Services,61,66.9,0.103,0.826,2.0,0.03,0.2,293.56,75.78,55.24,62.21,20.73,WATCH - Monitor for opportunity
DXCM,"DexCom, Inc.",United States,Healthcare,Medical Devices,61,79.81,0.125,0.784,2.48,0.031,0.03,121.61,71.08,62.57,72.03,20.69,WATCH - Monitor for opportunity
URBN,"Urban Outfitters, Inc.",United States,Consumer Cyclical,Apparel Retail,61,69.65,0.032,0.511,0.8,0.011,0.07,248.85,65.51,35.56,37.0,20.58,WATCH - Monitor for opportunity
HWM,Howmet Aerospace Inc.,United States,Industrials,Aerospace & Defense,61,76.36,-0.056,0.642,1.22,0.016,0.03,161.31,48.33,49.02,45.64,20.56,WATCH - Monitor for opportunity
FND,"Floor & Decor Holdings, Inc.",United States,Consumer Cyclical,Home Improvement Retail,61,50.56,0.058,0.807,1.14,0.022,0.13,583.33,74.62,40.79,43.72,20.46,WATCH - Monitor for opportunity
HEI,HEICO Corporation,United States,Industrials,Aerospace & Defense,61,75.86,-0.049,0.606,1.11,0.015,0.07,167.84,48.05,45.98,43.17,20.43,WATCH - Monitor for opportunity
PLD,"Prologis, Inc.",United States,Real Estate,REIT - Industrial,61,59.19,0.076,0.791,1.51,0.025,0.0,430.97,71.18,46.82,51.23,20.42,WATCH - Monitor for opportunity
DBX,"Dropbox, Inc.",United States,Technology,Software - Infrastructure,61,62.33,-0.068,0.826,1.31,0.021,0.03,372.02,53.35,51.5,47.18,20.42,WATCH - Monitor for opportunity
CBRE,"CBRE Group, Inc.",United States,Real Estate,Real Estate Services,61,55.38,0.04,0.657,0.88,0.016,0.03,500.85,68.8,36.4,38.23,20.39,WATCH - Monitor for opportunity
ILMN,"Illumina, Inc.",United States,Healthcare,Diagnostics & Research,61,60.37,0.104,0.88,1.94,0.032,0.03,407.9,73.85,53.13,59.86,20.34,WATCH - Monitor for opportunity
SNA,Snap-on Incorporated,United States,Industrials,Tools & Accessories,61,81.8,-0.054,0.595,1.23,0.015,0.2,99.7,50.36,48.71,45.44,20.34,WATCH - Monitor for opportunity
GDDY,GoDaddy Inc.,United States,Technology,Software - Infrastructure,61,66.06,-0.09,0.916,1.65,0.025,0.23,303.61,59.63,60.48,53.8,20.29,WATCH - Monitor for opportunity
AZN,AstraZeneca PLC,United Kingdom,Healthcare,Drug Manufacturers - General,61,68.41,0.067,0.671,1.45,0.021,0.17,268.7,71.33,45.88,49.71,20.29,WATCH - Monitor for opportunity
TYL,"Tyler Technologies, Inc.",United States,Technology,Software - Application,61,77.57,-0.02,0.412,0.55,0.007,0.13,145.21,44.31,31.94,31.14,20.11,WATCH - Monitor for opportunity
OKTA,"Okta, Inc.",United States,Technology,Software - Infrastructure,61,81.01,-0.07,0.678,1.51,0.019,0.1,108.38,50.49,54.96,50.16,20.01,WATCH - Monitor for opportunity
SSRM,SSR Mining Inc.,United States,Basic Materials,Gold,61,81.3,0.1,0.682,2.14,0.026,0.3,103.54,73.83,55.43,62.23,19.84,AVOID - Poor risk-adjusted score
GILD,"Gilead Sciences, Inc.",United States,Healthcare,Drug Manufacturers - General,61,73.61,-0.072,0.729,1.48,0.02,0.12,194.89,52.19,53.65,48.89,19.73,AVOID - Poor risk-adjusted score
ONON,On Holding AG,Switzerland,Consumer Cyclical,Footwear & Accessories,61,89.82,-0.115,0.822,2.23,0.025,0.28,28.74,57.85,73.84,63.53,19.67,AVOID - Poor risk-adjusted score
WMG,Warner Music Group Corp.,United States,Communication Services,Entertainment,61,54.93,0.077,0.818,1.5,0.027,0.0,507.25,71.79,44.91,49.18,19.67,AVOID - Poor risk-adjusted score
SE,Sea Limited,Singapore,Consumer Cyclical,Internet Retail,61,86.86,0.024,0.371,0.69,0.008,0.18,43.72,44.01,32.24,33.2,19.65,AVOID - Poor risk-adjusted score
MU,"Micron Technology, Inc.",United States,Technology,Semiconductors,61,77.67,0.08,0.635,1.76,0.023,0.17,145.41,70.13,49.35,54.2,19.64,AVOID - Poor risk-adjusted score
KGC,Kinross Gold Corporation,Canada,Basic Materials,Gold,61,88.7,0.089,0.603,2.02,0.023,0.05,33.44,66.81,53.49,59.37,19.63,AVOID - Poor risk-adjusted score
DOX,Amdocs Limited,United States,Technology,Software - Infrastructure,61,65.47,-0.082,0.849,1.57,0.024,0.25,314.69,58.08,55.6,49.96,19.43,AVOID - Poor risk-adjusted score
ICLR,ICON Public Limited Company,Ireland,Healthcare,Diagnostics & Research,61,47.83,0.033,0.663,0.7,0.015,0.22,637.08,72.74,31.69,32.98,19.36,AVOID - Poor risk-adjusted score
WST,"West Pharmaceutical Services, Inc.",United States,Healthcare,Medical Instruments & Supplies,61,76.25,0.051,0.53,1.23,0.016,0.13,163.34,66.96,40.44,43.01,19.26,AVOID - Poor risk-adjusted score
BLK,"BlackRock, Inc.",United States,Financial Services,Asset Management,61,81.62,0.045,0.478,1.14,0.014,0.05,101.7,43.95,39.05,41.23,19.25,AVOID - Poor risk-adjusted score
CRL,"Charles River Laboratories International, Inc.",United States,Healthcare,Diagnostics & Research,61,45.74,0.051,0.792,1.02,0.022,0.2,677.79,75.52,36.21,38.52,19.1,AVOID - Poor risk-adjusted score
IT,"Gartner, Inc.",United States,Technology,Information Technology Services,61,69.92,-0.103,0.906,1.9,0.027,0.17,247.69,57.8,63.37,55.39,19.07,AVOID - Poor risk-adjusted score
CCJ,Cameco Corporation,Canada,Energy,Uranium,61,79.28,0.174,0.856,3.31,0.042,0.13,127.72,74.16,67.85,81.76,18.95,AVOID - Poor risk-adjusted score
RDDT,"Reddit, Inc.",United States,Communication Services,Internet Content & Information,61,94.2,0.187,0.779,3.72,0.04,0.18,13.69,73.09,73.39,89.36,18.93,AVOID - Poor risk-adjusted score
CRUS,"Cirrus Logic, Inc.",United States,Technology,Semiconductors,61,85.08,-0.054,0.543,1.28,0.015,0.08,59.87,46.44,46.16,43.09,18.9,AVOID - Poor risk-adjusted score
CIEN,Ciena Corporation,United States,Technology,Communication Equipment,61,77.06,0.084,0.631,1.85,0.024,0.17,153.54,69.87,48.65,53.66,18.8,AVOID - Poor risk-adjusted score
BURL,"Burlington Stores, Inc.",United States,Consumer Cyclical,Apparel Retail,61,52.58,0.065,0.759,1.32,0.025,0.07,545.46,71.57,39.89,43.12,18.56,AVOID - Poor risk-adjusted score
GTM,ZoomInfo Technologies Inc.,United States,Technology,Software - Application,37,62.11,-0.042,0.513,0.63,0.01,0.17,372.57,47.7,31.84,30.16,18.51,AVOID - Poor risk-adjusted score
AEM,Agnico Eagle Mines Limited,Canada,Basic Materials,Gold,61,88.95,0.062,0.492,1.55,0.017,0.05,31.51,44.03,43.8,47.15,18.5,AVOID - Poor risk-adjusted score
APH,Amphenol Corporation,United States,Technology,Electronic Components,61,80.34,0.079,0.59,1.81,0.023,0.12,115.2,67.77,47.38,51.99,18.5,AVOID - Poor risk-adjusted score
PTC,PTC Inc.,United States,Technology,Software - Application,61,73.36,0.155,0.844,2.97,0.04,0.05,199.2,72.27,61.9,73.31,18.48,AVOID - Poor risk-adjusted score
SHEL,Shell plc,United Kingdom,Energy,Oil & Gas Integrated,61,54.37,-0.055,0.765,1.11,0.02,0.03,517.87,51.59,41.61,38.77,18.39,AVOID - Poor risk-adjusted score
PHM,"PulteGroup, Inc.",United States,Consumer Cyclical,Residential Construction,61,70.1,0.084,0.669,1.81,0.026,0.12,243.3,69.81,46.88,51.75,18.38,AVOID - Poor risk-adjusted score
UL,Unilever PLC,United Kingdom,Consumer Defensive,Household & Personal Products,61,58.54,-0.064,0.777,1.29,0.022,0.13,448.39,53.77,45.47,41.84,18.29,AVOID - Poor risk-adjusted score
PSTG,"Pure Storage, Inc.",United States,Technology,Computer Hardware,61,81.0,0.043,0.456,1.13,0.014,0.18,108.74,45.96,36.97,38.97,18.29,AVOID - Poor risk-adjusted score
QGEN,Qiagen N.V.,Netherlands,Healthcare,Diagnostics & Research,61,76.03,-0.057,0.594,1.3,0.017,0.02,165.54,46.45,45.19,41.99,18.24,AVOID - Poor risk-adjusted score
WING,Wingstop Inc.,United States,Consumer Cyclical,Restaurants,61,69.4,-0.096,0.846,1.84,0.027,0.27,254.26,58.05,58.69,51.77,18.23,AVOID - Poor risk-adjusted score
GWW,"W.W. Grainger, Inc.",United States,Industrials,Industrial Distribution,61,70.55,-0.09,0.805,1.77,0.025,0.03,238.16,52.29,56.77,50.47,18.22,AVOID - Poor risk-adjusted score
COST,Costco Wholesale Corporation,United States,Consumer Defensive,Discount Stores,61,74.53,-0.035,0.484,0.9,0.012,0.05,183.38,44.33,36.09,34.5,18.19,AVOID - Poor risk-adjusted score
CMC,Commercial Metals Company,United States,Basic Materials,Steel,61,57.64,0.061,0.676,1.31,0.023,0.13,462.28,70.69,38.98,41.93,18.17,AVOID - Poor risk-adjusted score
AXON,"Axon Enterprise, Inc.",United States,Industrials,Aerospace & Defense,61,90.0,-0.126,0.82,2.45,0.027,0.1,27.67,53.89,73.83,62.58,18.14,AVOID - Poor risk-adjusted score
FUTU,Futu Holdings Limited,Hong Kong,Financial Services,Capital Markets,61,47.58,0.065,0.802,1.28,0.027,0.22,642.3,75.7,38.17,41.25,18.07,AVOID - Poor risk-adjusted score
SEIC,SEI Investments Company,United States,Financial Services,Asset Management,61,89.69,-0.087,0.651,1.89,0.021,0.07,28.38,48.75,58.36,52.15,18.06,AVOID - Poor risk-adjusted score
IDCC,"InterDigital, Inc.",United States,Technology,Software - Application,61,89.28,0.132,0.67,2.84,0.032,0.1,31.16,68.92,59.84,69.37,18.06,AVOID - Poor risk-adjusted score
AKAM,"Akamai Technologies, Inc.",United States,Technology,Software - Infrastructure,61,55.16,-0.056,0.75,1.14,0.021,0.07,503.64,51.79,41.39,38.52,18.03,AVOID - Poor risk-adjusted score
NDAQ,"Nasdaq, Inc.",United States,Financial Services,Financial Data & Stock Exchanges,61,68.24,-0.044,0.564,1.03,0.015,0.25,270.49,50.41,38.5,36.39,17.92,AVOID - Poor risk-adjusted score
SPXC,"SPX Technologies, Inc.",United States,Industrials,Building Products & Equipment,61,69.47,0.05,0.536,1.21,0.017,0.08,252.52,66.01,37.23,39.55,17.92,AVOID - Poor risk-adjusted score
ROKU,"Roku, Inc.",United States,Communication Services,Entertainment,61,85.19,0.021,0.334,0.63,0.007,0.02,59.82,39.6,28.42,29.15,17.91,AVOID - Poor risk-adjusted score
ROP,"Roper Technologies, Inc.",United States,Technology,Software - Application,61,65.58,-0.066,0.709,1.38,0.021,0.05,311.95,50.15,46.47,42.66,17.9,AVOID - Poor risk-adjusted score
MSI,"Motorola Solutions, Inc.",United States,Technology,Communication Equipment,61,69.66,0.073,0.621,1.63,0.023,0.0,249.59,66.27,43.22,47.13,17.9,AVOID - Poor risk-adjusted score
MTSI,"MACOM Technology Solutions Holdings, Inc.",United States,Technology,Semiconductors,61,86.49,-0.037,0.431,0.99,0.011,0.0,46.82,41.8,37.31,35.59,17.87,AVOID - Poor risk-adjusted score
ZTS,Zoetis Inc.,United States,Healthcare,Drug Manufacturers - Specialty & Generic,61,71.01,-0.063,0.65,1.38,0.019,0.07,230.05,48.88,46.14,42.52,17.85,AVOID - Poor risk-adjusted score
VIAV,Viavi Solutions Inc.,United States,Technology,Communication Equipment,61,68.07,0.039,0.493,0.97,0.014,0.07,274.31,44.7,33.57,35.2,17.83,AVOID - Poor risk-adjusted score
NUE,Nucor Corporation,United States,Basic Materials,Steel,61,54.89,0.121,0.913,2.22,0.041,0.07,509.15,74.67,50.11,57.44,17.82,AVOID - Poor risk-adjusted score
WB,Weibo Corporation,China,Communication Services,Internet Content & Information,61,65.18,0.087,0.699,1.83,0.028,0.05,322.51,69.17,45.59,50.48,17.81,AVOID - Poor risk-adjusted score
ACN,Accenture plc,Ireland,Technology,Information Technology Services,61,76.94,-0.068,0.63,1.5,0.019,0.1,153.9,48.95,48.46,44.41,17.78,AVOID - Poor risk-adjusted score
TLN,Talen Energy Corporation,United States,Utilities,Utilities - Independent Power Producers,61,60.96,0.144,0.908,2.65,0.043,0.05,395.15,73.9,55.38,64.92,17.78,AVOID - Poor risk-adjusted score
FI,"Fiserv, Inc.",United States,Technology,Information Technology Services,61,60.77,-0.094,0.904,1.74,0.029,0.38,403.28,61.93,54.97,48.62,17.73,AVOID - Poor risk-adjusted score
APP,AppLovin Corporation,United States,Communication Services,Advertising Agencies,61,84.69,0.147,0.72,3.05,0.036,0.12,70.62,70.32,60.94,71.65,17.7,AVOID - Poor risk-adjusted score
HUBG,"Hub Group, Inc.",United States,Industrials,Integrated Freight & Logistics,61,45.27,0.052,0.753,1.05,0.023,0.05,686.39,71.27,34.08,36.27,17.69,AVOID - Poor risk-adjusted score
DY,"Dycom Industries, Inc.",United States,Industrials,Engineering & Construction,61,61.76,0.032,0.497,0.8,0.013,0.08,382.48,45.27,30.68,31.92,17.68,AVOID - Poor risk-adjusted score
PCAR,PACCAR Inc,United States,Industrials,Farm & Heavy Construction Machinery,61,55.18,0.046,0.618,1.04,0.019,0.07,503.36,67.97,34.08,36.05,17.66,AVOID - Poor risk-adjusted score
KO,The Coca-Cola Company,United States,Consumer Defensive,Beverages - Non-Alcoholic,61,66.47,-0.09,0.818,1.75,0.026,0.2,296.89,55.92,54.41,48.38,17.58,AVOID - Poor risk-adjusted score
PM,Philip Morris International Inc.,United States,Consumer Defensive,Tobacco,61,67.22,-0.075,0.735,1.55,0.023,0.02,285.15,50.08,49.41,44.8,17.58,AVOID - Poor risk-adjusted score
IOT,Samsara Inc.,United States,Technology,Software - Infrastructure,61,46.54,-0.06,0.867,1.13,0.024,0.17,660.62,56.92,40.36,37.37,17.54,AVOID - Poor risk-adjusted score
ENPH,"Enphase Energy, Inc.",United States,Technology,Solar,61,62.57,-0.038,0.553,0.89,0.014,0.02,367.51,45.5,34.6,32.98,17.45,AVOID - Poor risk-adjusted score
CMG,"Chipotle Mexican Grill, Inc.",United States,Consumer Cyclical,Restaurants,61,69.79,-0.046,0.553,1.09,0.016,0.25,247.61,50.04,38.62,36.41,17.44,AVOID - Poor risk-adjusted score
PYPL,"PayPal Holdings, Inc.",United States,Financial Services,Credit Services,61,70.58,-0.064,0.644,1.41,0.02,0.08,235.97,49.0,45.47,41.85,17.37,AVOID - Poor risk-adjusted score
BIIB,Biogen Inc.,United States,Healthcare,Drug Manufacturers - General,61,63.6,0.12,0.801,2.36,0.037,0.18,350.05,73.98,50.95,58.39,17.36,AVOID - Poor risk-adjusted score
TCOM,Trip.com Group Limited,Singapore,Consumer Cyclical,Travel Services,61,65.57,0.045,0.522,1.09,0.017,0.1,314.46,65.99,34.21,36.12,17.26,AVOID - Poor risk-adjusted score
BF-B,Brown-Forman Corporation,United States,Consumer Defensive,Beverages - Wineries & Distilleries,61,62.83,0.06,0.601,1.36,0.022,0.17,360.05,69.2,37.76,40.57,17.18,AVOID - Poor risk-adjusted score
BEN,"Franklin Resources, Inc.",United States,Financial Services,Asset Management,61,61.09,0.093,0.732,1.9,0.031,0.17,394.34,72.18,44.73,49.81,17.16,AVOID - Poor risk-adjusted score
BWA,BorgWarner Inc.,United States,Consumer Cyclical,Auto Parts,61,52.03,0.103,0.864,1.95,0.037,0.17,554.33,75.5,44.93,50.58,17.16,AVOID - Poor risk-adjusted score
LPX,Louisiana-Pacific Corporation,United States,Industrials,Building Products & Equipment,61,72.02,-0.069,0.653,1.51,0.021,0.03,215.74,48.17,47.04,43.01,17.14,AVOID - Poor risk-adjusted score
CGNX,Cognex Corporation,United States,Technology,Scientific & Technical Instruments,61,79.93,0.176,0.795,3.48,0.044,0.1,119.7,71.48,63.53,76.69,17.11,AVOID - Poor risk-adjusted score
CHRW,"C.H. Robinson Worldwide, Inc.",United States,Industrials,Integrated Freight & Logistics,61,55.3,0.102,0.819,1.99,0.036,0.02,501.61,71.32,45.3,50.96,17.06,AVOID - Poor risk-adjusted score
