ticker,CompanyName,Sector,Industry,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,stability_adjusted_score,recommendation
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,58,80.11,0.017,0.501,0.41,0.005,0.02,119.05,62.24,40.14,41.01,29.07,WATCH - Monitor for opportunity
AZTA,"Azenta, Inc.",Healthcare,Medical Instruments & Supplies,58,70.38,0.038,0.691,0.77,0.011,0.05,238.1,70.68,48.62,50.94,28.78,WATCH - Monitor for opportunity
FIZZ,National Beverage Corp.,Consumer Defensive,Beverages - Non-Alcoholic,58,83.58,-0.029,0.579,0.64,0.008,0.21,77.43,50.83,48.43,46.69,28.55,WATCH - Monitor for opportunity
ADBE,Adobe Inc.,Technology,Software - Application,58,79.65,-0.046,0.712,0.9,0.011,0.18,123.5,53.72,56.69,53.47,28.07,WATCH - Monitor for opportunity
GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments,58,90.42,0.111,0.828,2.05,0.023,0.05,24.57,73.64,74.88,85.04,27.92,WATCH - Monitor for opportunity
ANSS,"ANSYS, Inc.",Technology,Software - Application,58,81.95,0.023,0.511,0.55,0.007,0.07,98.09,66.06,41.84,43.06,27.85,WATCH - Monitor for opportunity
UBER,"Uber Technologies, Inc.",Technology,Software - Application,58,75.8,0.032,0.597,0.7,0.009,0.02,168.62,67.32,45.22,47.05,27.64,WATCH - Monitor for opportunity
HOLX,"Hologic, Inc.",Healthcare,Medical Instruments & Supplies,58,73.53,0.065,0.778,1.24,0.017,0.09,197.34,73.41,57.22,61.86,27.59,WATCH - Monitor for opportunity
DT,"Dynatrace, Inc.",Technology,Software - Application,58,85.22,-0.024,0.52,0.56,0.007,0.09,57.91,46.68,44.28,42.93,27.44,WATCH - Monitor for opportunity
CSGP,"CoStar Group, Inc.",Real Estate,Real Estate Services,58,81.59,0.052,0.647,1.08,0.013,0.02,101.1,68.45,52.82,56.22,27.08,WATCH - Monitor for opportunity
VRSN,"VeriSign, Inc.",Technology,Software - Infrastructure,58,74.27,-0.051,0.751,0.98,0.013,0.11,185.97,53.33,55.81,52.29,26.42,WATCH - Monitor for opportunity
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,58,84.89,0.078,0.72,1.54,0.018,0.12,65.29,72.23,61.08,66.97,26.36,WATCH - Monitor for opportunity
VICR,Vicor Corporation,Technology,Electronic Components,58,78.34,0.048,0.635,1.01,0.013,0.02,136.79,68.1,49.71,52.67,26.25,WATCH - Monitor for opportunity
PAYC,"Paycom Software, Inc.",Technology,Software - Application,58,90.19,-0.053,0.649,1.1,0.012,0.14,25.16,51.05,58.51,54.67,26.07,WATCH - Monitor for opportunity
CLS,Celestica Inc.,Technology,Electronic Components,58,72.39,0.077,0.797,1.45,0.02,0.18,209.48,75.43,57.73,63.24,25.82,WATCH - Monitor for opportunity
JWN,Unknown,Unknown,Unknown,28,44.68,-0.036,0.799,0.32,0.007,0.15,701.07,56.22,35.72,34.12,25.76,WATCH - Monitor for opportunity
RL,Ralph Lauren Corporation,Consumer Cyclical,Apparel Manufacturing,58,75.89,0.072,0.739,1.4,0.018,0.3,167.74,76.29,56.08,61.05,25.47,WATCH - Monitor for opportunity
HQY,"HealthEquity, Inc.",Healthcare,Health Information Services,58,73.15,-0.056,0.765,1.08,0.015,0.12,200.84,53.92,55.92,52.02,25.06,WATCH - Monitor for opportunity
BIO,"Bio-Rad Laboratories, Inc.",Healthcare,Medical Devices,58,64.75,0.049,0.713,0.96,0.015,0.07,327.9,71.3,46.15,48.94,24.93,AVOID - Poor risk-adjusted score
CIEN,Ciena Corporation,Technology,Communication Equipment,58,76.76,0.064,0.689,1.29,0.017,0.12,156.9,71.45,52.91,57.11,24.91,AVOID - Poor risk-adjusted score
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,58,85.89,0.086,0.7,1.72,0.02,0.04,55.33,69.72,60.16,66.51,24.5,AVOID - Poor risk-adjusted score
FFIV,"F5, Inc.",Technology,Software - Infrastructure,58,91.73,0.054,0.546,1.22,0.013,0.11,17.79,67.17,50.12,53.48,24.08,AVOID - Poor risk-adjusted score
FSLR,"First Solar, Inc.",Technology,Solar,58,72.89,0.111,0.858,2.01,0.028,0.12,205.22,75.44,62.54,71.03,23.57,AVOID - Poor risk-adjusted score
CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,58,76.9,-0.082,0.849,1.49,0.019,0.21,154.41,57.74,65.29,58.69,23.56,AVOID - Poor risk-adjusted score
AFRM,"Affirm Holdings, Inc.",Technology,Software - Infrastructure,58,61.75,0.076,0.83,1.4,0.023,0.25,381.62,77.55,51.27,56.11,23.35,AVOID - Poor risk-adjusted score
FIX,"Comfort Systems USA, Inc.",Industrials,Engineering & Construction,58,80.29,0.11,0.788,2.08,0.026,0.02,115.41,71.39,63.23,71.73,23.3,AVOID - Poor risk-adjusted score
ON,ON Semiconductor Corporation,Technology,Semiconductors,58,67.89,0.09,0.821,1.67,0.025,0.09,277.41,73.94,55.75,61.93,23.23,AVOID - Poor risk-adjusted score
AEIS,"Advanced Energy Industries, Inc.",Industrials,Electrical Equipment & Parts,58,76.25,0.061,0.641,1.27,0.017,0.14,163.45,70.38,48.88,52.55,23.2,AVOID - Poor risk-adjusted score
MMSI,"Merit Medical Systems, Inc.",Healthcare,Medical Instruments & Supplies,58,72.02,-0.058,0.736,1.13,0.016,0.16,215.67,53.68,53.01,49.21,23.13,AVOID - Poor risk-adjusted score
SKYW,"SkyWest, Inc.",Industrials,Airlines,58,57.17,0.077,0.872,1.39,0.024,0.02,470.98,74.09,49.86,54.62,22.89,AVOID - Poor risk-adjusted score
SAP,SAP SE,Technology,Software - Application,58,82.36,-0.09,0.823,1.67,0.02,0.25,93.43,57.57,67.77,60.25,22.6,AVOID - Poor risk-adjusted score
GE,GE Aerospace,Industrials,Aerospace & Defense,58,78.92,0.076,0.665,1.57,0.02,0.02,132.29,68.3,52.45,57.4,22.35,AVOID - Poor risk-adjusted score
VRSK,"Verisk Analytics, Inc.",Industrials,Consulting Services,58,71.51,-0.083,0.868,1.5,0.021,0.11,222.67,56.06,62.09,55.72,22.33,AVOID - Poor risk-adjusted score
FCX,Freeport-McMoRan Inc.,Basic Materials,Copper,58,70.79,0.088,0.76,1.69,0.024,0.04,232.97,71.11,53.8,59.64,22.15,AVOID - Poor risk-adjusted score
SNPS,"Synopsys, Inc.",Technology,Software - Infrastructure,58,80.61,0.111,0.758,2.14,0.027,0.11,112.64,72.19,61.11,69.4,22.1,AVOID - Poor risk-adjusted score
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,58,94.04,-0.037,0.464,0.9,0.01,0.18,9.5,46.49,43.67,41.68,21.97,AVOID - Poor risk-adjusted score
DFS,Unknown,Unknown,Unknown,26,40.45,-0.057,0.849,0.46,0.011,0.04,762.27,55.11,34.33,31.9,21.78,AVOID - Poor risk-adjusted score
KLIC,"Kulicke and Soffa Industries, Inc.",Technology,Semiconductor Equipment & Materials,58,74.0,0.037,0.518,0.86,0.012,0.05,190.74,65.43,38.33,40.08,21.6,AVOID - Poor risk-adjusted score
INFY,Infosys Limited,Technology,Information Technology Services,58,83.16,-0.081,0.742,1.58,0.019,0.09,83.33,52.12,61.72,55.52,21.5,AVOID - Poor risk-adjusted score
DBX,"Dropbox, Inc.",Technology,Software - Infrastructure,58,62.37,-0.075,0.879,1.33,0.021,0.09,371.38,56.0,54.84,49.78,21.34,AVOID - Poor risk-adjusted score
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,58,88.87,0.051,0.494,1.21,0.014,0.0,31.91,43.46,43.91,46.67,21.16,AVOID - Poor risk-adjusted score
NEM,Newmont Corporation,Basic Materials,Gold,58,83.52,0.09,0.651,1.86,0.022,0.19,79.43,71.15,54.35,60.35,21.07,AVOID - Poor risk-adjusted score
WMB,"The Williams Companies, Inc.",Energy,Oil & Gas Midstream,58,59.08,-0.057,0.788,1.07,0.018,0.02,437.78,52.17,46.54,43.25,20.85,AVOID - Poor risk-adjusted score
DXCM,"DexCom, Inc.",Healthcare,Medical Devices,58,79.68,0.131,0.784,2.47,0.031,0.05,123.0,71.47,62.48,72.34,20.83,AVOID - Poor risk-adjusted score
RCL,Royal Caribbean Cruises Ltd.,Consumer Cyclical,Travel Services,58,66.78,0.107,0.819,1.97,0.03,0.25,295.88,76.51,54.66,61.79,20.77,AVOID - Poor risk-adjusted score
YELP,Yelp Inc.,Communication Services,Internet Content & Information,58,84.26,0.067,0.564,1.48,0.018,0.0,72.45,65.17,47.56,51.49,20.73,AVOID - Poor risk-adjusted score
ILMN,"Illumina, Inc.",Healthcare,Diagnostics & Research,58,60.19,0.101,0.862,1.82,0.03,0.02,411.59,73.17,51.85,58.25,20.66,AVOID - Poor risk-adjusted score
BOOT,"Boot Barn Holdings, Inc.",Consumer Cyclical,Apparel Retail,58,72.52,0.054,0.583,1.19,0.016,0.02,208.6,66.21,42.3,45.15,20.65,AVOID - Poor risk-adjusted score
EXTR,"Extreme Networks, Inc.",Technology,Communication Equipment,58,71.26,0.029,0.476,0.71,0.01,0.12,225.34,45.75,33.92,35.15,20.61,AVOID - Poor risk-adjusted score
GDDY,GoDaddy Inc.,Technology,Software - Infrastructure,58,66.15,-0.094,0.921,1.63,0.025,0.26,302.28,60.43,60.95,53.94,20.47,AVOID - Poor risk-adjusted score
FND,"Floor & Decor Holdings, Inc.",Consumer Cyclical,Home Improvement Retail,58,50.45,0.056,0.779,1.06,0.021,0.09,585.14,73.02,39.28,42.0,20.43,AVOID - Poor risk-adjusted score
WSM,"Williams-Sonoma, Inc.",Consumer Cyclical,Specialty Retail,58,77.96,0.06,0.569,1.33,0.017,0.12,141.81,67.82,44.38,47.69,20.43,AVOID - Poor risk-adjusted score
CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,58,55.34,0.043,0.658,0.88,0.016,0.02,501.53,68.51,36.44,38.37,20.41,AVOID - Poor risk-adjusted score
OKTA,"Okta, Inc.",Technology,Software - Infrastructure,58,81.19,-0.063,0.63,1.33,0.016,0.12,106.4,49.73,51.17,47.17,20.25,AVOID - Poor risk-adjusted score
PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,58,59.06,0.075,0.76,1.44,0.024,0.02,433.45,70.72,44.89,49.05,20.11,AVOID - Poor risk-adjusted score
SPXC,"SPX Technologies, Inc.",Industrials,Building Products & Equipment,58,69.46,0.057,0.601,1.24,0.018,0.05,252.91,67.31,41.77,44.74,20.0,AVOID - Poor risk-adjusted score
HWM,Howmet Aerospace Inc.,Industrials,Aerospace & Defense,58,76.43,-0.057,0.618,1.21,0.016,0.02,160.57,47.32,47.25,43.92,19.89,AVOID - Poor risk-adjusted score
WMG,Warner Music Group Corp.,Communication Services,Entertainment,58,54.82,0.077,0.802,1.45,0.026,0.02,509.1,71.76,43.94,48.14,19.69,AVOID - Poor risk-adjusted score
ONON,On Holding AG,Consumer Cyclical,Footwear & Accessories,58,90.0,-0.114,0.797,2.14,0.024,0.28,27.64,57.14,71.7,61.76,19.69,AVOID - Poor risk-adjusted score
SNA,Snap-on Incorporated,Industrials,Tools & Accessories,58,81.86,-0.056,0.575,1.23,0.015,0.19,98.97,49.6,47.06,43.8,19.65,AVOID - Poor risk-adjusted score
HEI,HEICO Corporation,Industrials,Aerospace & Defense,58,75.93,-0.05,0.576,1.1,0.014,0.02,167.1,46.2,43.77,41.05,19.55,AVOID - Poor risk-adjusted score
DOX,Amdocs Limited,Technology,Software - Infrastructure,58,65.59,-0.083,0.831,1.52,0.023,0.25,312.69,57.52,54.5,48.94,19.42,AVOID - Poor risk-adjusted score
AZN,AstraZeneca PLC,Healthcare,Drug Manufacturers - General,58,68.3,0.067,0.631,1.4,0.021,0.16,270.52,70.04,43.1,46.66,19.41,AVOID - Poor risk-adjusted score
BLK,"BlackRock, Inc.",Financial Services,Asset Management,58,81.58,0.048,0.483,1.16,0.014,0.07,101.97,44.48,39.44,41.8,19.36,AVOID - Poor risk-adjusted score
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,58,73.74,-0.07,0.689,1.4,0.019,0.14,193.34,51.57,50.79,46.42,19.32,AVOID - Poor risk-adjusted score
ICLR,ICON Public Limited Company,Healthcare,Diagnostics & Research,58,47.79,0.034,0.657,0.7,0.015,0.25,637.97,73.16,31.41,32.74,19.24,AVOID - Poor risk-adjusted score
IT,"Gartner, Inc.",Technology,Information Technology Services,58,70.05,-0.106,0.902,1.86,0.027,0.16,245.79,57.56,63.2,55.03,19.21,AVOID - Poor risk-adjusted score
CCJ,Cameco Corporation,Energy,Uranium,58,79.07,0.179,0.847,3.25,0.041,0.16,130.1,74.46,66.98,81.04,19.05,AVOID - Poor risk-adjusted score
WST,"West Pharmaceutical Services, Inc.",Healthcare,Medical Instruments & Supplies,58,76.2,0.054,0.526,1.24,0.016,0.16,163.91,67.3,40.08,42.76,19.05,AVOID - Poor risk-adjusted score
SSRM,SSR Mining Inc.,Basic Materials,Gold,58,81.12,0.097,0.636,2.03,0.025,0.26,105.47,71.84,51.61,57.74,19.03,AVOID - Poor risk-adjusted score
CRUS,"Cirrus Logic, Inc.",Technology,Semiconductors,58,85.13,-0.057,0.547,1.29,0.015,0.04,59.28,45.6,46.58,43.27,18.86,AVOID - Poor risk-adjusted score
PTC,PTC Inc.,Technology,Software - Application,58,73.21,0.163,0.852,2.96,0.04,0.04,201.09,72.2,62.34,74.4,18.78,AVOID - Poor risk-adjusted score
CRL,"Charles River Laboratories International, Inc.",Healthcare,Diagnostics & Research,58,45.67,0.052,0.768,0.99,0.022,0.23,679.59,75.44,35.07,37.33,18.78,AVOID - Poor risk-adjusted score
RDDT,"Reddit, Inc.",Communication Services,Internet Content & Information,58,93.94,0.19,0.759,3.64,0.039,0.18,14.19,72.41,71.35,87.1,18.75,AVOID - Poor risk-adjusted score
MU,"Micron Technology, Inc.",Technology,Semiconductors,58,77.54,0.079,0.594,1.71,0.022,0.12,146.78,68.08,46.08,50.55,18.67,AVOID - Poor risk-adjusted score
APH,Amphenol Corporation,Technology,Electronic Components,58,80.28,0.084,0.596,1.83,0.023,0.11,115.79,67.71,47.86,52.84,18.67,AVOID - Poor risk-adjusted score
KGC,Kinross Gold Corporation,Basic Materials,Gold,58,88.56,0.089,0.564,1.98,0.022,0.04,34.14,65.4,49.98,55.44,18.6,AVOID - Poor risk-adjusted score
ANF,Abercrombie & Fitch Co.,Consumer Cyclical,Apparel Retail,58,59.62,0.088,0.752,1.71,0.029,0.07,422.88,71.11,44.85,49.73,18.37,AVOID - Poor risk-adjusted score
EME,"EMCOR Group, Inc.",Industrials,Engineering & Construction,58,75.81,0.065,0.551,1.46,0.019,0.05,169.22,65.66,41.8,45.17,18.33,AVOID - Poor risk-adjusted score
URBN,"Urban Outfitters, Inc.",Consumer Cyclical,Apparel Retail,58,69.58,0.03,0.445,0.75,0.011,0.05,249.95,43.32,30.98,32.14,18.32,AVOID - Poor risk-adjusted score
UL,Unilever PLC,Consumer Defensive,Household & Personal Products,58,58.6,-0.068,0.778,1.28,0.022,0.12,447.21,53.6,45.58,41.77,18.29,AVOID - Poor risk-adjusted score
BURL,"Burlington Stores, Inc.",Consumer Cyclical,Apparel Retail,58,52.48,0.066,0.734,1.28,0.024,0.02,547.07,69.91,38.5,41.63,18.24,AVOID - Poor risk-adjusted score
NUE,Nucor Corporation,Basic Materials,Steel,58,54.76,0.127,0.927,2.21,0.04,0.09,511.09,75.51,50.74,58.54,18.24,AVOID - Poor risk-adjusted score
WING,Wingstop Inc.,Consumer Cyclical,Restaurants,58,69.54,-0.097,0.83,1.79,0.026,0.26,252.38,57.59,57.71,50.82,18.23,AVOID - Poor risk-adjusted score
TYL,"Tyler Technologies, Inc.",Technology,Software - Application,58,77.6,-0.02,0.372,0.54,0.007,0.16,144.72,43.61,28.84,28.12,18.21,AVOID - Poor risk-adjusted score
PCAR,PACCAR Inc,Industrials,Farm & Heavy Construction Machinery,58,55.15,0.05,0.637,1.05,0.019,0.05,503.98,68.26,35.15,37.34,18.18,AVOID - Poor risk-adjusted score
AXON,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,58,90.2,-0.125,0.795,2.35,0.026,0.07,26.31,52.64,71.67,60.83,18.18,AVOID - Poor risk-adjusted score
ENPH,"Enphase Energy, Inc.",Technology,Solar,58,62.59,-0.041,0.582,0.9,0.014,0.04,367.22,46.71,36.4,34.54,18.15,AVOID - Poor risk-adjusted score
VRT,Vertiv Holdings Co,Industrials,Electrical Equipment & Parts,58,78.9,0.092,0.614,1.97,0.025,0.02,131.95,66.27,48.45,53.94,18.14,AVOID - Poor risk-adjusted score
GWW,"W.W. Grainger, Inc.",Industrials,Industrial Distribution,58,70.69,-0.09,0.78,1.71,0.024,0.02,236.16,51.33,55.11,49.02,18.12,AVOID - Poor risk-adjusted score
FUTU,Futu Holdings Limited,Financial Services,Capital Markets,58,47.51,0.068,0.801,1.28,0.027,0.28,643.88,76.95,38.05,41.26,18.12,AVOID - Poor risk-adjusted score
DY,"Dycom Industries, Inc.",Industrials,Engineering & Construction,58,61.73,0.035,0.51,0.81,0.013,0.07,383.07,65.39,31.48,32.85,18.11,AVOID - Poor risk-adjusted score
FI,"Fiserv, Inc.",Technology,Information Technology Services,58,60.92,-0.094,0.89,1.66,0.027,0.39,400.48,61.68,54.19,47.97,18.04,AVOID - Poor risk-adjusted score
SHEL,Shell plc,Energy,Oil & Gas Integrated,58,54.46,-0.055,0.735,1.07,0.02,0.0,516.29,50.09,40.02,37.3,18.03,AVOID - Poor risk-adjusted score
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,58,55.21,-0.059,0.75,1.13,0.021,0.02,502.72,50.8,41.41,38.39,17.99,AVOID - Poor risk-adjusted score
TLN,Talen Energy Corporation,Utilities,Utilities - Independent Power Producers,58,60.78,0.147,0.904,2.59,0.043,0.07,398.97,74.25,54.93,64.61,17.98,AVOID - Poor risk-adjusted score
SE,Sea Limited,Consumer Cyclical,Internet Retail,58,86.83,0.024,0.336,0.69,0.008,0.14,43.91,42.09,29.15,30.02,17.78,AVOID - Poor risk-adjusted score
IOT,Samsara Inc.,Technology,Software - Infrastructure,58,46.6,-0.063,0.882,1.13,0.024,0.19,659.79,57.9,41.11,37.88,17.77,AVOID - Poor risk-adjusted score
PHM,"PulteGroup, Inc.",Consumer Cyclical,Residential Construction,58,69.93,0.079,0.616,1.69,0.024,0.07,245.64,67.47,43.1,47.31,17.58,AVOID - Poor risk-adjusted score
NOK,Nokia Oyj,Technology,Communication Equipment,58,59.77,-0.097,0.901,1.71,0.029,0.18,424.1,57.68,53.84,47.46,17.55,AVOID - Poor risk-adjusted score
BWA,BorgWarner Inc.,Consumer Cyclical,Auto Parts,58,51.93,0.109,0.877,1.95,0.038,0.19,555.84,76.43,45.57,51.63,17.51,AVOID - Poor risk-adjusted score
SEIC,SEI Investments Company,Financial Services,Asset Management,58,89.8,-0.088,0.626,1.87,0.021,0.05,27.71,47.76,56.24,50.14,17.49,AVOID - Poor risk-adjusted score
IDCC,"InterDigital, Inc.",Technology,Software - Application,58,89.09,0.133,0.641,2.79,0.031,0.09,32.03,67.85,57.1,66.29,17.49,AVOID - Poor risk-adjusted score
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,58,66.59,-0.091,0.801,1.71,0.026,0.16,295.16,54.61,53.32,47.34,17.49,AVOID - Poor risk-adjusted score
GTM,ZoomInfo Technologies Inc.,Technology,Software - Application,34,62.18,-0.042,0.475,0.6,0.01,0.21,371.21,47.53,29.55,28.0,17.48,AVOID - Poor risk-adjusted score
ROP,"Roper Technologies, Inc.",Technology,Software - Application,58,65.7,-0.065,0.67,1.32,0.02,0.04,310.14,48.79,44.02,40.49,17.43,AVOID - Poor risk-adjusted score
JOYY,JOYY Inc.,Communication Services,Internet Content & Information,58,80.01,-0.038,0.444,0.94,0.012,0.02,119.21,42.5,35.56,33.89,17.43,AVOID - Poor risk-adjusted score
CMC,Commercial Metals Company,Basic Materials,Steel,58,57.53,0.059,0.631,1.25,0.022,0.09,464.57,68.5,36.27,38.94,17.33,AVOID - Poor risk-adjusted score
LVS,Las Vegas Sands Corp.,Consumer Cyclical,Resorts & Casinos,58,61.13,0.166,0.919,2.89,0.047,0.21,392.24,77.05,56.19,67.2,17.26,AVOID - Poor risk-adjusted score
PATH,UiPath Inc.,Technology,Software - Infrastructure,58,40.52,-0.056,0.908,0.99,0.024,0.11,761.9,56.92,36.8,34.24,17.24,AVOID - Poor risk-adjusted score
HUBG,"Hub Group, Inc.",Industrials,Integrated Freight & Logistics,58,45.19,0.051,0.721,1.01,0.022,0.0,688.12,69.39,32.58,34.66,17.22,AVOID - Poor risk-adjusted score
BIIB,Biogen Inc.,Healthcare,Drug Manufacturers - General,58,63.44,0.122,0.784,2.31,0.036,0.16,353.1,73.02,49.71,57.08,17.22,AVOID - Poor risk-adjusted score
APP,AppLovin Corporation,Communication Services,Advertising Agencies,58,84.46,0.146,0.685,2.95,0.035,0.11,72.76,69.16,57.83,67.92,17.21,AVOID - Poor risk-adjusted score
ZTS,Zoetis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,58,71.15,-0.059,0.593,1.28,0.018,0.05,228.0,47.06,42.23,39.14,17.19,AVOID - Poor risk-adjusted score
PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,58,67.34,-0.074,0.699,1.49,0.022,0.0,283.62,48.77,47.09,42.76,17.19,AVOID - Poor risk-adjusted score
MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,58,69.56,0.074,0.591,1.61,0.023,0.02,251.1,65.76,41.09,44.85,17.18,AVOID - Poor risk-adjusted score
WB,Weibo Corporation,Communication Services,Internet Content & Information,58,65.02,0.083,0.653,1.72,0.027,0.0,325.22,66.93,42.44,46.79,17.17,AVOID - Poor risk-adjusted score
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics,58,55.18,0.106,0.817,1.97,0.036,0.02,503.45,71.28,45.07,50.94,17.14,AVOID - Poor risk-adjusted score
QGEN,Qiagen N.V.,Healthcare,Diagnostics & Research,58,76.14,-0.054,0.537,1.23,0.016,0.0,164.1,44.48,40.87,38.13,17.07,AVOID - Poor risk-adjusted score
BEN,"Franklin Resources, Inc.",Financial Services,Asset Management,58,60.98,0.096,0.722,1.89,0.031,0.19,396.59,72.44,44.05,49.23,17.06,AVOID - Poor risk-adjusted score
MTSI,"MACOM Technology Solutions Holdings, Inc.",Technology,Semiconductors,58,86.53,-0.038,0.413,1.0,0.012,0.02,46.16,41.6,35.78,34.07,17.06,AVOID - Poor risk-adjusted score
CGNX,Cognex Corporation,Technology,Scientific & Technical Instruments,58,79.71,0.181,0.781,3.43,0.043,0.12,122.24,71.59,62.27,75.48,17.04,AVOID - Poor risk-adjusted score
ACN,Accenture plc,Technology,Information Technology Services,58,77.04,-0.068,0.596,1.47,0.019,0.09,152.83,47.73,45.92,42.07,17.03,AVOID - Poor risk-adjusted score
ANET,Arista Networks Inc,Technology,Computer Hardware,58,50.84,0.117,0.895,2.06,0.041,0.25,578.26,77.7,45.49,51.94,16.96,AVOID - Poor risk-adjusted score
PHG,Koninklijke Philips N.V.,Healthcare,Medical Devices,58,46.65,0.058,0.727,1.15,0.025,0.05,659.84,70.41,33.93,36.39,16.94,AVOID - Poor risk-adjusted score
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,58,86.55,0.032,0.357,0.91,0.01,0.05,46.53,40.7,30.87,32.11,16.84,AVOID - Poor risk-adjusted score
T,AT&T Inc.,Communication Services,Telecom Services,58,55.81,-0.062,0.724,1.22,0.022,0.11,490.79,51.64,40.43,37.31,16.78,AVOID - Poor risk-adjusted score
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,58,74.58,-0.035,0.443,0.88,0.012,0.11,182.62,44.2,33.02,31.57,16.76,AVOID - Poor risk-adjusted score
FOXF,Fox Factory Holding Corp.,Consumer Cyclical,Auto Parts,58,39.47,0.057,0.814,1.05,0.027,0.02,777.34,72.11,32.14,34.41,16.75,AVOID - Poor risk-adjusted score
