Ticker,Score,Trend Direction,Trend Quality,SMA Position,Recent Cross,MACD Signal,MACD Histogram,RSI Level,RSI Trend,ROC,%B Position,BB Width,ADX Strength,DI Direction,ARIMA,Exp Smooth,Recommendation
VICR,8.5,0.5,0,1,0.5,1,1.0,0.5,0.5,0.5,0.5,0.5,0,1,0.5,0.5,HOLD
FIX,8.0,1.0,1,1,0.5,0,0.0,0.5,1.0,0.5,0.0,0.5,0,1,0.5,0.5,HOLD
WSM,8.0,0.5,1,1,0.5,1,0.5,0.5,1.0,0.5,0.0,0.5,0,1,0.0,0.0,HOLD
RMD,8.0,0.5,0,1,0.5,1,0.5,0.5,1.0,0.5,0.0,0.5,0,1,0.5,0.5,HOLD
NEM,8.0,0.5,0,1,0.5,1,0.5,0.5,1.0,0.5,0.0,0.5,0,1,0.5,0.5,HOLD
SNA,8.0,0.5,0,1,1.0,1,1.0,0.5,1.0,0.5,0.0,0.5,0,1,0.0,0.0,HOLD
B,8.0,1.0,1,1,0.5,0,0.0,0.0,1.0,1.0,0.0,0.5,0,1,0.5,0.5,BUY
CPRT,7.5,0.5,1,0,0.5,1,1.0,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,HOLD
MU,7.5,0.5,1,1,0.5,0,0.0,0.5,0.5,0.5,0.5,0.5,0,1,0.5,0.5,HOLD
NICE,7.5,0.5,1,0,0.5,1,1.0,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,HOLD
SAP,7.5,0.5,1,0,0.5,1,0.5,0.5,1.0,0.5,0.5,0.5,0,0,0.5,0.5,HOLD
IDXX,7.5,0.5,1,1,0.5,0,0.0,0.5,0.5,0.5,0.5,0.5,0,1,0.5,0.5,HOLD
DDOG,7.5,0.5,1,1,0.5,0,0.0,0.5,0.5,0.5,0.5,0.5,0,1,0.5,0.5,HOLD
INFY,7.5,0.5,1,0,0.5,1,1.0,0.5,1.0,0.5,0.0,0.5,0,1,0.0,0.0,HOLD
CRUS,7.0,0.5,0,0,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0.5,0.5,HOLD
GE,7.0,0.5,1,0,0.5,0,0.0,0.5,1.0,0.5,0.5,0.5,0,1,0.5,0.5,HOLD
SNPS,7.0,1.0,1,0,0.5,0,0.0,0.5,0.0,0.5,1.0,0.5,1,0,0.5,0.5,HOLD
PINS,7.0,0.5,1,0,0.0,0,0.0,0.5,0.0,0.5,1.0,0.5,1,1,0.5,0.5,HOLD
CSGP,7.0,0.5,1,0,0.0,0,0.0,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,HOLD
ONON,7.0,0.5,1,0,0.5,0,0.0,1.0,0.5,0.0,1.0,0.5,1,0,0.5,0.5,HOLD
AXON,7.0,0.0,1,0,0.5,0,0.0,1.0,1.0,0.5,0.5,0.5,1,0,0.5,0.5,HOLD
VRT,7.0,1.0,1,0,0.0,0,0.0,0.5,1.0,0.5,0.5,0.5,0,1,0.5,0.5,HOLD
RMBS,6.5,0.5,1,0,0.0,0,0.0,0.5,0.0,0.5,0.5,0.5,1,1,0.5,0.5,HOLD
MANH,6.5,0.5,1,0,0.0,0,0.0,0.5,0.0,0.5,0.5,0.5,1,1,0.5,0.5,HOLD
ADBE,6.5,0.5,1,0,0.5,0,0.0,0.5,0.5,0.5,0.5,0.5,1,0,0.5,0.5,HOLD
APH,6.5,1.0,1,0,0.0,0,0.0,0.5,1.0,0.5,0.0,0.5,0,1,0.5,0.5,HOLD
DT,6.5,0.5,0,0,0.5,1,1.0,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,HOLD
OKTA,6.0,0.5,0,0,0.5,0,0.0,0.5,0.5,0.5,1.0,0.5,1,0,0.5,0.5,HOLD
LRCX,6.0,0.5,0,0,0.5,0,0.0,0.5,1.0,0.5,0.5,0.5,0,1,0.5,0.5,HOLD
PDD,6.0,0.5,0,0,0.5,0,0.0,0.5,1.0,0.5,0.5,0.5,0,1,0.5,0.5,HOLD
JOYY,6.0,0.5,0,0,0.5,1,0.5,0.5,1.0,0.5,0.0,0.5,0,1,0.0,0.0,HOLD
NVDA,5.5,0.5,0,0,0.5,0,0.0,0.5,0.5,0.5,0.5,0.5,0,1,0.5,0.5,SELL
ANSS,5.5,0.5,0,0,0.5,0,0.0,0.5,0.5,0.5,0.5,0.5,0,1,0.5,0.5,SELL
EME,5.5,0.5,1,0,0.5,0,0.0,0.5,1.0,0.5,0.0,0.5,0,1,0.0,0.0,SELL
AMZN,5.0,0.5,1,0,0.0,0,0.0,0.5,0.0,0.5,1.0,0.5,0,0,0.5,0.5,SELL
MSFT,5.0,0.5,0,0,0.0,0,0.0,0.5,0.5,0.5,0.5,0.5,0,1,0.5,0.5,SELL
FIZZ,5.0,0.5,0,0,0.5,0,0.0,0.5,0.5,0.5,1.0,0.5,0,0,0.5,0.5,SELL
WST,5.0,0.5,0,0,0.0,0,0.0,0.5,1.0,0.5,0.0,0.5,0,1,0.5,0.5,SELL
PSTG,4.5,0.5,0,0,0.5,0,0.0,0.5,0.0,0.5,1.0,0.5,0,0,0.5,0.5,SELL
AMD,4.5,0.5,0,0,0.5,0,0.0,0.5,0.0,0.5,1.0,0.5,0,0,0.5,0.5,SELL
