Portfolio,Tickers
TopRank_S20_P50,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, CDNS, DUOL, GOOGL, GOOG, FFIV, HIMS, PINS, NXT, GRMN, INCY, FTNT"
SectorBal3_S20_P50,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, GOOGL, HIMS, INCY, AXON, SEIC, ONON, AEM, KGC, CPRT, DASH, SE"
IndustryBal_S20_P50,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, CDNS, DUOL, FFIV, HIMS, NXT, GRMN, INCY, AXON, SEIC, ONON, RMD"
Stability_S20_P50,"QLYS, RMBS, DDOG, CPRT, VEEV, SHOP, PINS, GRMN, PAYC, META, ABNB, FFIV, LRCX, SE, KGC, AEM, NVDA, ONON, MTSI, RDDT"
PosMomentum_S20_P50,"PLTR, NVDA, RMBS, RDDT, MNST, CDNS, GOOGL, GOOG, FFIV, PINS, NXT, GRMN, INCY, SHOP, IDCC, MPWR, RMD, AEM, LRCX, KGC"
HybridStability_S20_P50,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, GOOGL, HIMS, INCY, AXON, SEIC, ONON, AEM, KGC, CPRT, DASH, SE"
TopRank_S10_P100,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, CDNS"
SectorBal2_S10_P100,"PLTR, NVDA, EXEL, VEEV, RDDT, META, MNST, WPM, HIMS, AXON"
SectorBal3_S10_P100,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, GOOGL"
IndustryBal_S10_P100,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, CDNS"
Stability_S10_P100,"QLYS, WDAY, RMBS, DDOG, PCTY, LSCC, DT, CPRT, MANH, VEEV"
PosMomentum_S10_P100,"PLTR, NVDA, RMBS, RDDT, MNST, CDNS, GOOGL, GOOG, FFIV, PINS"
TopRank_S15_P100,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, CDNS, DUOL, GOOGL, GOOG, FFIV, HIMS"
SectorBal2_S15_P100,"PLTR, NVDA, EXEL, VEEV, RDDT, META, MNST, WPM, HIMS, AXON, SEIC, ONON, AEM, CPRT, DASH"
SectorBal3_S15_P100,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, GOOGL, HIMS, INCY, AXON, SEIC, ONON"
IndustryBal_S15_P100,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, CDNS, DUOL, FFIV, HIMS, NXT, GRMN"
Stability_S15_P100,"QLYS, WDAY, RMBS, DDOG, PCTY, LSCC, DT, CPRT, MANH, VEEV, SHOP, PINS, FIZZ, GRMN, PAYC"
PosMomentum_S15_P100,"PLTR, NVDA, RMBS, RDDT, MNST, CDNS, GOOGL, GOOG, FFIV, PINS, NXT, GRMN, INCY, SHOP, IDCC"
HybridStability_S15_P100,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, GOOGL, HIMS, INCY, AXON, SEIC, ONON"
TopRank_S20_P100,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, CDNS, DUOL, GOOGL, GOOG, FFIV, HIMS, PINS, NXT, GRMN, INCY, FTNT"
SectorBal3_S20_P100,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, GOOGL, HIMS, INCY, AXON, SEIC, ONON, AEM, KGC, CPRT, DASH, SE"
IndustryBal_S20_P100,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, CDNS, DUOL, FFIV, HIMS, NXT, GRMN, INCY, AXON, SEIC, ONON, RMD"
Stability_S20_P100,"QLYS, WDAY, RMBS, DDOG, PCTY, LSCC, DT, CPRT, MANH, VEEV, SHOP, PINS, FIZZ, GRMN, PAYC, META, ABNB, FFIV, BKNG, LRCX"
PosMomentum_S20_P100,"PLTR, NVDA, RMBS, RDDT, MNST, CDNS, GOOGL, GOOG, FFIV, PINS, NXT, GRMN, INCY, SHOP, IDCC, MPWR, RMD, AEM, LRCX, KGC"
HybridStability_S20_P100,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, GOOGL, HIMS, INCY, AXON, SEIC, ONON, AEM, KGC, CPRT, DASH, SE"
TopRank_S10_P150,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, CDNS"
SectorBal2_S10_P150,"PLTR, NVDA, EXEL, VEEV, RDDT, META, MNST, WPM, HIMS, AXON"
SectorBal3_S10_P150,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, GOOGL"
IndustryBal_S10_P150,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, CDNS"
Stability_S10_P150,"QLYS, WDAY, RMBS, CRM, DDOG, PCTY, IDXX, LSCC, DT, CPRT"
PosMomentum_S10_P150,"PLTR, NVDA, RMBS, RDDT, MNST, CDNS, GOOGL, GOOG, FFIV, PINS"
Recommended_S10_P150,"RMBS, QLYS, CPRT, DDOG, DT, PCTY, WDAY, MANH, LSCC, CRM"
TopRank_S15_P150,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, CDNS, DUOL, GOOGL, GOOG, FFIV, HIMS"
SectorBal2_S15_P150,"PLTR, NVDA, EXEL, VEEV, RDDT, META, MNST, WPM, HIMS, AXON, SEIC, ONON, AEM, CPRT, DASH"
SectorBal3_S15_P150,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, GOOGL, HIMS, INCY, AXON, SEIC, ONON"
IndustryBal_S15_P150,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, CDNS, DUOL, FFIV, HIMS, NXT, GRMN"
Stability_S15_P150,"QLYS, WDAY, RMBS, CRM, DDOG, PCTY, IDXX, LSCC, DT, CPRT, MANH, VEEV, DOCU, SHOP, PINS"
PosMomentum_S15_P150,"PLTR, NVDA, RMBS, RDDT, MNST, CDNS, GOOGL, GOOG, FFIV, PINS, NXT, GRMN, INCY, SHOP, IDCC"
HybridStability_S15_P150,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, GOOGL, HIMS, INCY, AXON, SEIC, ONON"
TopRank_S20_P150,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, CDNS, DUOL, GOOGL, GOOG, FFIV, HIMS, PINS, NXT, GRMN, INCY, FTNT"
SectorBal3_S20_P150,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, GOOGL, HIMS, INCY, AXON, SEIC, ONON, AEM, KGC, CPRT, DASH, SE"
IndustryBal_S20_P150,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, CDNS, DUOL, FFIV, HIMS, NXT, GRMN, INCY, AXON, SEIC, ONON, RMD"
Stability_S20_P150,"QLYS, WDAY, RMBS, CRM, DDOG, PCTY, IDXX, LSCC, DT, CPRT, MANH, VEEV, DOCU, SHOP, PINS, FIZZ, ADBE, B, VICR, GRMN"
PosMomentum_S20_P150,"PLTR, NVDA, RMBS, RDDT, MNST, CDNS, GOOGL, GOOG, FFIV, PINS, NXT, GRMN, INCY, SHOP, IDCC, MPWR, RMD, AEM, LRCX, KGC"
HybridStability_S20_P150,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, GOOGL, HIMS, INCY, AXON, SEIC, ONON, AEM, KGC, CPRT, DASH, SE"
